timestamp,session_id,event_type,event_subtype,symbol,side,quantity,price,order_id,grid_level,cycle_id,pnl,fee,fee_asset,risk_level,message,data_json,error
2025-09-25T10:30:31.651750,20250925_103031,signal,fee_payment_recorded,,,,,,,,,,USDT,,,"{""signal_type"": ""fee_payment_recorded"", ""fee_amount"": 0.011199373742500001, ""order_type"": ""LIMIT"", ""total_fees_paid"": 0.05599686871250001, ""total_fee_savings"": 0.0, ""payments_count"": 5}",
2025-09-25T10:30:31.653435,20250925_103031,trade,execution,BTCUSDT,BUY,0.0001,111993.737425,SIM_-3_106556,-3,,0,,,,,"{""grid_level"": -3, ""timestamp"": ""2025-09-25T10:30:31.653428"", ""trade_type"": ""GRID""}",
2025-09-25T10:30:31.655184,20250925_103031,signal,trade_saved,,BUY,,111993.737425,,,,0.0,,,,,"{""signal_type"": ""trade_saved"", ""trade_id"": ""BUY_-3_1758771031""}",
2025-09-25T13:53:38.597657,20250925_135338,signal,fee_calculator_initialized,,,,,,,,,,,,,"{""signal_type"": ""fee_calculator_initialized"", ""maker_fee_pct"": 0.1, ""taker_fee_pct"": 0.1, ""use_fee_discount"": false, ""fee_discount_pct"": 0.0, ""include_fees_in_calculation"": true}",
2025-09-25T13:53:38.600382,20250925_135338,signal,capital_initialized,,,,,,,,,,,,,"{""signal_type"": ""capital_initialized"", ""total_capital"": 20000.0, ""capital_per_grid"": 2000.0, ""allocation_pct"": 10.0}",
2025-09-25T13:53:38.841673,20250925_135338,signal,volatility_adjustment,,,,,,,,,,,,,"{""signal_type"": ""volatility_adjustment"", ""volatility_ratio"": 0.0010627630081950462, ""regime"": ""very_low"", ""original_spacing_pct"": 0.5, ""adjusted_spacing_pct"": 0.35, ""spacing_multiplier"": 0.7, ""position_multiplier"": 1.1, ""atr_value"": 118.60500000000216, ""current_price"": 111600.61}",
2025-09-25T13:53:38.842679,20250925_135338,signal,grid_generated,,,,,,,,,,,,,"{""signal_type"": ""grid_generated"", ""center_price"": 111600.61, ""total_levels"": 10, ""price_range"": ""109647.60 - 113553.62"", ""spacing_pct"": 0.35}",
2025-09-25T19:06:03.229656,20250925_190603,signal,fee_calculator_initialized,,,,,,,,,,,,,"{""signal_type"": ""fee_calculator_initialized"", ""maker_fee_pct"": 0.1, ""taker_fee_pct"": 0.1, ""use_fee_discount"": false, ""fee_discount_pct"": 0.0, ""include_fees_in_calculation"": true}",
2025-09-25T19:06:03.235266,20250925_190603,signal,capital_initialized,,,,,,,,,,,,,"{""signal_type"": ""capital_initialized"", ""total_capital"": 19944.785598, ""capital_per_grid"": 1994.4785597999999, ""allocation_pct"": 10.0}",
2025-09-25T19:06:03.470955,20250925_190603,signal,volatility_adjustment,,,,,,,,,,,,,"{""signal_type"": ""volatility_adjustment"", ""volatility_ratio"": 0.0041365428690405435, ""regime"": ""very_low"", ""original_spacing_pct"": 0.5, ""adjusted_spacing_pct"": 0.35, ""spacing_multiplier"": 0.7, ""position_multiplier"": 1.1, ""atr_value"": 461.0185714285711, ""current_price"": 111450.21}",
