timestamp,session_id,event_type,event_subtype,symbol,side,quantity,price,order_id,grid_level,cycle_id,pnl,fee,fee_asset,risk_level,message,data_json,error
2025-09-23T17:59:33.801728,20250923_175933,signal,capital_initialized,,,,,,,,,,,,,"{""signal_type"": ""capital_initialized"", ""total_capital"": 20000.0, ""capital_per_grid"": 2000.0, ""allocation_pct"": 10.0}",
2025-09-23T17:59:33.912136,20250923_175933,signal,grid_generated,,,,,,,,,,,,,"{""signal_type"": ""grid_generated"", ""center_price"": 112985.29, ""total_levels"": 10, ""price_range"": ""110160.66 - 115809.92"", ""spacing_pct"": 0.5}",
2025-09-23T19:34:24.997746,20250923_193424,signal,capital_initialized,,,,,,,,,,,,,"{""signal_type"": ""capital_initialized"", ""total_capital"": 20000.0, ""capital_per_grid"": 2000.0, ""allocation_pct"": 10.0}",
2025-09-23T19:35:50.192846,20250923_193550,signal,capital_initialized,,,,,,,,,,,,,"{""signal_type"": ""capital_initialized"", ""total_capital"": 20000.0, ""capital_per_grid"": 2000.0, ""allocation_pct"": 10.0}",
2025-09-23T19:35:50.313823,20250923_193550,signal,volatility_adjustment,,,,,,,,,,,,,"{""signal_type"": ""volatility_adjustment"", ""volatility_ratio"": 0.009999999999999912, ""regime"": ""very_low"", ""original_spacing_pct"": 0.5, ""adjusted_spacing_pct"": 0.35, ""spacing_multiplier"": 0.7, ""position_multiplier"": 1.1, ""atr_value"": 1128.9712999999902, ""current_price"": 112897.13}",
2025-09-23T19:35:50.315217,20250923_193550,signal,grid_generated,,,,,,,,,,,,,"{""signal_type"": ""grid_generated"", ""center_price"": 112897.13, ""total_levels"": 10, ""price_range"": ""110921.43 - 114872.83"", ""spacing_pct"": 0.35}",
2025-09-23T20:06:37.495246,20250923_200637,signal,capital_initialized,,,,,,,,,,,,,"{""signal_type"": ""capital_initialized"", ""total_capital"": 20000.0, ""capital_per_grid"": 2000.0, ""allocation_pct"": 10.0}",
2025-09-23T20:06:37.625155,20250923_200637,signal,volatility_adjustment,,,,,,,,,,,,,"{""signal_type"": ""volatility_adjustment"", ""volatility_ratio"": 0.009999999999999884, ""regime"": ""very_low"", ""original_spacing_pct"": 0.5, ""adjusted_spacing_pct"": 0.35, ""spacing_multiplier"": 0.7, ""position_multiplier"": 1.1, ""atr_value"": 1128.407199999987, ""current_price"": 112840.72}",
2025-09-23T20:06:37.626464,20250923_200637,signal,grid_generated,,,,,,,,,,,,,"{""signal_type"": ""grid_generated"", ""center_price"": 112840.72, ""total_levels"": 10, ""price_range"": ""110866.01 - 114815.43"", ""spacing_pct"": 0.35}",
