timestamp,session_id,event_type,event_subtype,symbol,side,quantity,price,order_id,grid_level,cycle_id,pnl,fee,fee_asset,risk_level,message,data_json,error
2025-09-23T18:44:35.045602,20250923_184435,signal,volatility_adjustment,,,,,,,,,,,,,"{""signal_type"": ""volatility_adjustment"", ""volatility_ratio"": 0.020000000000000014, ""regime"": ""very_low"", ""original_spacing_pct"": 0.5, ""adjusted_spacing_pct"": 0.35, ""spacing_multiplier"": 0.7, ""position_multiplier"": 1.1, ""atr_value"": 2261.1330000000016, ""current_price"": 113056.65}",
2025-09-23T18:49:03.136939,20250923_184903,signal,volatility_adjustment,,,,,,,,,,,,,"{""signal_type"": ""volatility_adjustment"", ""volatility_ratio"": 0.02000000000000013, ""regime"": ""very_low"", ""original_spacing_pct"": 0.5, ""adjusted_spacing_pct"": 0.35, ""spacing_multiplier"": 0.7, ""position_multiplier"": 1.1, ""atr_value"": 2259.8220000000147, ""current_price"": 112991.1}",
